id1,nachname,vorname,titel,fach,stoffklasse,jahr,historische_einleitung_vorhanden,fokus_historischer_teil,anteil_historisch,vorkommende_epochen,wichtige_historische_personen_im_text,quellentypen,historie_stellenwert_skala
1889-DISS-LF,Lüdtke,Franz,Beiträge zur Kenntniss der Aleuronkörner,Pharmakognosie,Botanische Pflanzenteile,1889,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.1044776119402985,Mitte 19. Jahrhundert,Theodor Hartig,"Fachzeitschriften,Sitzungsberichte,Jahrbücher,Lehrbücher",1
1890-DISS-NH,Nadelmann,Hugo,Ueber die Schleimendosperme der Leguminosen.,Pharmakognosie,Systematische Gruppen,1890,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.14457831325301204,Mitte 19. Jahrhundert,"Matthias Jacob Schleiden,Julius Rudolph Theodor Vogel","Jahrbücher,Wissenschaftliche Berichte,Lehrbücher",1
1891-DISS-BH,Bliesenick,Hermann,Über die Obliteration der Siebröhren ...,Pharmakognosie,Sonstige,1891,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.06349206349206349,Mitte 19. Jahrhundert,Theodor Hartig,"Jahresberichte,Fachzeitschriften,Sitzungsberichte,Lehrbücher,Jahrbücher,Wissenschaftliche Berichte",1
1891-DISS-CA,Conrady,Adolf,Ueber das Galbanumharz,Pharmakognosie,Gummiharze,1891,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.09375,"Altertum,Frühe Neuzeit","Pedanios Dioskurides,Caspar Neumann","Historische Sekundärquellen,Jahresberichte,Fachzeitschriften",1
1891-DISS-LP,Liechti,Paul,Studien über die Fruchtschalen der Garcinia Mangostana.,Pharmakognosie,Alkaloide und Glykoside,1891,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.0625,Mitte 19. Jahrhundert,"Justus von Liebig,Henri Braconnot,Jöns Jakob Berzelius","Jahrbücher,Lehrbücher",2
1892-DISS-HC,Hartwich,Carl,Beiträge zur Kenntnis der Strophanthus- und einiger mit denselben verwandter Samen,Pharmakognosie,Alkaloide und Glykoside,1892,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.06060606060606061,Mitte 19. Jahrhundert,Augustin Pyrame de Candolle,"Fachzeitschriften,Reiseberichte,Jahresberichte",2
1893-DISS-BA,Bécheraz,Achille,Ueber die Sekretbildung in den schizogenen Gängen.,Pharmakognosie,Sonstige,1893,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.15789473684210525,Mitte 19. Jahrhundert,"Franz Julius Ferdinand Meyen,Anton de Bary","Fachbeiträge,Jahrbücher,Fachzeitschriften",1
1893-DISS-LF,Lüdy,Fritz,Studien über die Sumatra-Benzoë,Pharmakognosie,Harze,1893,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.10526315789473684,Gesamtes 19. Jahrhundert,Jöns Jakob Berzelius,"Fachzeitschriften,Jahrbücher,Lehrbücher,Wissenschaftliche Berichte,Kommentar Pharmaokopöe,Handwörterbuch",2
1893-DISS-OO,Oesterle,Otto,"Pharmakognostische Studien über Gutta-Percha",Pharmakognosie,Gummi,1893,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.1,Mitte 19. Jahrhundert,"Michael Faraday,A.W. Hofmann","Lehrbücher,Jahresberichte,Fachzeitschriften",2
1893-DISS-TH,Trog,Hans,Pharmakognostische Studien über den Perubalsam und seine Entstehung,Pharmakognosie,Balsame,1893,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.06451612903225806,Mitte 19. Jahrhundert,"Jonathan Pereira,Henri Ernest Baillon,Carl von Linné,Edmond Frémy,Émile Plantamour","Fachzeitschriften,Jahresberichte",1
1894-DISS-BA,Baur,Alfred,Über das Burseraceen - Opoponax,Pharmakognosie,Gummiharze,1894,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.08333333333333333,"Altertum,Mitte 19. Jahrhundert","Pedanios Dioskurides,Theophrastos von Eresos","Fachzeitschriften,Dissertationen,Jahrbücher",2
1894-DISS-EM,Elfstrand,Mårten,Studier öfver Alkaloidernas Lokalisation Företrädesvis inom Familjen Loganiaceae,Pharmakognosie,Systematische Gruppen,1894,true,"Naturwissenschafts-/Disziplingeschichte,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte",0.015873015873015872,Gesamtes 19. Jahrhundert,Simon Schwendener,"Wissenschaftliche Berichte,Fachzeitschriften,Dissertationen,Sitzungsberichte,Jahresberichte",1
1894-DISS-KM,Küstenmacher,Max,Beiträge zur Kenntniss der Gallenbildungen mit Berücksichtigung des Gerbstoffes.,Pharmakognosie,Sonstige,1894,true,"Allgemeine Pharmaziegeschichte,Naturwissenschafts-/Disziplingeschichte",0.009900990099009901,Altertum,Gaius Plinius Secundus Maior,Historische Wissensliteratur,1
1894-DISS-OP,Oberländer,Paul,Ueber den Tolubalsam und seine Entstehung.,Pharmakognosie,Balsame,1894,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.11904761904761904,Mittelalter,Nicolás Monardes,"Jahresberichte,Lehrbücher,Fachzeitschriften,Historische Wissensliteratur",1
1895-DISS-AE,Aweng,Eugen,"Über den Succinit",Pharmakognosie,Harze,1895,true,Pharmazeutische Chemie-/Technologiegeschichte,0.0967741935483871,Mitte 19. Jahrhundert,"Matthias Jacob Schleiden,Pierre-Joseph Pelletier,Jöns Jakob Berzelius","Monographien,Handbuch,Jahresberichte,Fachzeitschriften",1
1895-DISS-BA,Balzer,Alexander,"Ueber das Sandaracharz",Pharmakognosie,Harze,1895,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0,Mitte 19. Jahrhundert,Otto Unverdorben,,1
1895-DISS-CO,Chimani,Otto,Untersuchungen über Bau und Anordnung der Milchröhren unter besonderer Berücksichtigung der Guttapercha u. Kautschuk liefernden Pflanzen.,Pharmakognosie,Gummi,1896,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.30434782608695654,"Altertum,Frühe Neuzeit","Marcello Malpighi,Theophrastos von Eresos,Martin Lister,Nehemiah Grew,Anton de Bary","Lehrbücher,Historische Wissensliteratur,Dissertationen,Fachbeiträge,Wissenschaftliche Berichte,Handwörterbuch,Sitzungsberichte,Jahresberichte",2
1895-DISS-HM,Hohenadel,Max,"Pharmacognostische Studien über das Sagapenum",Pharmakognosie,Gummiharze,1895,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.125,"Altertum,Mittelalter,Anfang 19. Jahrhundert,Mitte 19. Jahrhundert,Frühe Neuzeit","Abu Muhammad ibn al-Baitar,Pedanios Dioskurides,Gaius Plinius Secundus Maior,Serapion,Valerius Cordus,Pierre-Joseph Pelletier,Daniel Hanbury,Henri Braconnot,Caspar Neumann,Johann Schröder,Michael Bernhard Valentini","Fachzeitschriften,Dissertationen,Jahresberichte,Fachliteratur,Pharmakopöe,Kräuterbuch,Arzneibuch",2
1895-DISS-LH,Luz,Heinrich,Ueber das Ammoniacum,Pharmakognosie,Gummiharze,1895,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.02857142857142857,"Altertum,Frühe Neuzeit","Hippokrates von Kos,Gaius Plinius Secundus Maior,Jean Chardin,Pedanios Dioskurides",Historische Sekundärquellen,2
1896-DISS-BO,Buss,Otto,Beiträge zur Spectralanalyse einiger toxikologisch und pharmakognostisch wichtiger Farbstoffe mit besonderer Berücksichtigung des Ultraviolett.,Pharmakognosie,Sonstige,1896,true,"Naturwissenschafts-/Disziplingeschichte,Pharmazeutische Chemie-/Technologiegeschichte",0.020833333333333332,Mitte 19. Jahrhundert,"Robert Wilhelm Bunsen,Gustav Robert Kirchhoff",Enzyklopädie,1
1896-DISS-DK,Dieterich,Karl,Über das Palmendrachenblut.,Pharmakognosie,Harze,1896,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.10256410256410256,Mitte 19. Jahrhundert,Georg Eberhard Rumphius,Fachzeitschriften,1
1896-DISS-SA,Stephan,Alfred,Über den Zanzibar-Copal,Pharmakognosie,Harze,1896,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.14035087719298245,Gesamtes 19. Jahrhundert,"Theodor Wilhelm Christian Martius,Jöns Jakob Berzelius","Lehrbücher,Fachzeitschriften,Jahrbücher,Historische Sekundärquellen",1
1897-DISS-GG,Glimmann,Gustav,Über das Dammaraharz.,Pharmakognosie,Harze,1897,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.17647058823529413,Frühe Neuzeit,Georg Eberhard Rumphius,"Fachliteratur,Fachzeitschriften,Jahresberichte",1
1897-DISS-GH,Germann,Hans,Pharmacognostische Studien über die Früchte von Myroxylon Pereirae,Pharmakognosie,Balsame,1897,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.1891891891891892,Mitte 19. Jahrhundert,"Robert Bentley,Henry Trimen,Jonathan Pereira",,1
1897-DISS-HK,Hildebrand,Karl,Ueber das gelbe und rote Xanthorrhoea (Akaroid)Harz.,Pharmakognosie,Harze,1897,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.1875,"Übergang 19. Jahrhundert,Gesamtes 19. Jahrhundert",Johann Bartholomäus Trommsdorff,"Jahresberichte,Fachzeitschriften,Handbuch",2
1897-DISS-NP,Nottberg,Peter,Experimental-Untersuchungen über die Entstehung der Harzgallen und verwandter Gebilde bei unseren Abietineen.,Pharmakognosie,Systematische Gruppen,1897,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.019230769230769232,Mitte 19. Jahrhundert,,Fachliteratur,1
1897-DISS-PJ,Polàšek,Josef,Über Asa Foetida,Pharmakognosie,Gummiharze,1897,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte",0.2,"Mitte 19. Jahrhundert,Altertum,Frühe Neuzeit","Pedanios Dioskurides,Theophrastos von Eresos,Rhazes,Hubayš ibn al-Ḥasan al-Aʿsam al-Dimašqī ,Avicenna,Nicolaus Myrepsus,al-Istachrī,Muhammad al-Idrisi,Constantinus Africanus,Platearius,Michael Bernhard Valentini,Georg Franck von Franckenau,Johann Schröder,Engelbert Kaempfer,Hugh Falconer,William Dymock","Fachzeitschriften,Historische Wissensliteratur,Historische Sekundärquellen,Antidotarius,Arzneibuch,Handwörterbuch,Jahresberichte",3
1897-DISS-PP,Pfaefflin,Paul,"Untersuchungen über Entwicklungsgeschichte, Bau und Function der Nabelspalte und der darunter liegenden Tracheïden-Insel verschiedener practisch wichtiger Papilionaceen-Samen.",Pharmakognosie,Systematische Gruppen,1897,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.034482758620689655,"Frühe Neuzeit,Mitte 19. Jahrhundert","Marcello Malpighi,Nathanael Pringsheim","Historische Wissensliteratur,Fachliteratur,Dissertationen",1
1897-DISS-SA,Schad,Adolf,Entwicklungsgeschichtliche Untersuchungen über den Malabar Cardamomen und vergleichend anatomische Studien über die Samen einiger anderer Amomum- und Elettariaarten.,Pharmakognosie,Gewürze und Genussmittel,1897,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte",0.04918032786885246,"Mitte 19. Jahrhundert,Frühe Neuzeit,Anfang 19. Jahrhundert","Tabernaemontanus,Johann Schröder,Michael Bernhard Valentini,Pierre Pomet,Christian Gottfried Daniel Nees von Esenbeck,Theodor Wilhelm Christian Martius,William Dymock","Fachzeitschriften,Jahresberichte,Arzneibuch,Historische Sekundärquellen,Fachliteratur,Handbuch,Wissenschaftliche Berichte",1
1898-DISS-HO,Halbey,Oscar,Über das Olibanum,Pharmakognosie,Gummiharze,1898,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte",0.16417910447761194,"Altertum,Frühe Neuzeit,Mitte 19. Jahrhundert","Theophrastos von Eresos,Pedanios Dioskurides,Gaius Plinius Secundus Maior,Tabernaemontanus,Johann Schröder,Christoph Wirsung,Michael Bernhard Valentini,Henry John Carter,Johann Ernst Baer,Henri Braconnot","Historische Sekundärquellen,Historische Zeitschrift,Historische Wissensliteratur,Wissenschaftliche Berichte,Kräuterbuch,Arzneibuch,Pharmakopöe,Dissertationen,Reiseberichte,Jahresberichte",3
1898-DISS-PG,Pedersen,Gullow,Studien über Aloë,Pharmakognosie,Anthrachinon-Drogen,1898,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.18840579710144928,"Frühe Neuzeit,Mittelalter,Frühmittelalter,Mitte 19. Jahrhundert","Muhammad al-Idrisi,Alexander der Grosse,Marco Polo,Aulus Cornelius Celsus,Pedanios Dioskurides,Gaius Plinius Secundus Maior,Scribonius Largus,Pietro Andrea Mattioli,Tomé Pires,Elias von Jerusalem,Alfred der Grosse,Albertus Magnus,Richard Ligon,Henri Braconnot,Johann Bartholomäus Trommsdorff,Edme-Jean Baptiste Bouillon-Lagrange","Fachzeitschriften,Historische Wissensliteratur,Handbuch,Historische Sekundärquellen,Dissertationen,Jahresberichte,Handwörterbuch,Wissenschaftliche Berichte",2
1899-DISS-FA,Farner,Alfred,Studien über den Stocklack,Pharmakognosie,Harze,1899,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.17391304347826086,"Mittelalter,Frühe Neuzeit,Gesamtes 19. Jahrhundert","Michael Bernhard Valentini,Christian Gottfried Daniel Nees von Esenbeck,Jöns Jakob Berzelius","Fachzeitschriften,Kräuterbuch,Historische Wissensliteratur,Handbuch,Jahresberichte,Wissenschaftliche Berichte,Dissertationen",1
1899-DISS-KA,Knitl,Alois,Über das Umbelliferen-Opopanax.,Pharmakognosie,Gummiharze,1899,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte",0.08333333333333333,"Altertum,Frühe Neuzeit,Mitte 19. Jahrhundert","Theophrastos von Eresos,Hippokrates von Kos,Pedanios Dioskurides,Johann Ernst Baer","Pharmakopöe,Dissertationen,botanisches Systematikwerk,Handwörterbuch,Fachzeitschriften",2
1900-DISS-BE,Brünig,Eduard,"Über die Harzbalsame von Abies canadensis (L.) Miller, Picea vulgaris Link und Pinus Pinaster Solander.",Pharmakognosie,Balsame,1900,true,"Naturwissenschafts-/Disziplingeschichte,Pharmazeutische Chemie-/Technologiegeschichte",0.02857142857142857,"Frühe Neuzeit,Gesamtes 19. Jahrhundert","Jöns Jakob Berzelius,Johann Bartholomäus Trommsdorff,Justus von Liebig,Antoine Laurent de Lavoisier","Jahresberichte,Jahrbücher,Fachzeitschriften,Dissertationen",1
1900-DISS-HE,Hiepe,Eduard,Studien über die Senna,Pharmakognosie,Anthrachinon-Drogen,1900,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte",0.4523809523809524,"Altertum,Mittelalter,Frühe Neuzeit,Mitte 19. Jahrhundert","Georg Philipp Nenter,Yuhanna ibn Masawaih,Andrea Cesalpino,Pietro Andrea Mattioli,Joseph Pitton de Tournefort,Gabriele Falloppio,Pierre Pomet,Michael Bernhard Valentini,Johann Friedrich Cartheuser,Caspar Neumann,Theodor Wilhelm Christian Martius,Carl von Linné,Peter Forsskål,Gottlieb Wilhelm Bischoff,Edme-Jean Baptiste Bouillon-Lagrange","Kräuterbuch,Historische Wissensliteratur,Historische Sekundärquellen,Jahrbücher,Fachzeitschriften,Monographien,Dissertationen",3
1900-DISS-KH,Kritzler,Hermann,Mikrochemische Untersuchungen über die Aleuronkörner,Pharmakognosie,Botanische Pflanzenteile,1900,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.0625,Mitte 19. Jahrhundert,Theodor Hartig,"Fachzeitschriften,Jahrbücher,Jahresberichte,Lehrbücher,Wissenschaftliche Berichte",1
1900-DISS-LM,Lewinthal,Moritz,Über das Gummigutti.,Pharmakognosie,Gummiharze,1900,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.23076923076923078,"Mittelalter,Frühe Neuzeit","Caspar Neumann,Charles de l’Écluse,Johan Andreas Murray,Jacob de Bondt,Carl von Linné,Henri Braconnot,Christoph Heinrich Pfaff,Gilles-François Boulduc","Jahresberichte,Fachzeitschriften,Fachliteratur,Wissenschaftliche Berichte,Historische Wissensliteratur,Lehrbücher",3
1900-DISS-PR,Polacco,Ruggero,Studien über Fructus rhamni catharticae,Pharmakognosie,Anthrachinon-Drogen,1900,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.18604651162790697,"Mittelalter,Frühe Neuzeit,Mitte 19. Jahrhundert","Pedanios Dioskurides,Petrus de Crescentiis,Valerius Cordus,Hieronymus Bock,Pietro Andrea Mattioli,Rembert Dodoens,Matthias de l’Obel,Carl von Linné","Arzneibuch,botanisches Systematikwerk,Historische Wissensliteratur,Fachzeitschriften,Jahresberichte",2
1900-DISS-TO,Tunmann,Otto,Über die Sekretdrüsen.,Pharmakognosie,Sonstige,1900,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Naturwissenschafts-/Disziplingeschichte",0.057692307692307696,"Frühe Neuzeit,Mitte 19. Jahrhundert","Augustin Pyrame de Candolle,Jean-Étienne Guettard,Franz von Paula Schrank. Gebauer,Burkard Eble,Anton de Bary","Fachliteratur,Historische Wissensliteratur,Wissenschaftliche Berichte,Dissertationen,Denkschrift,Jahresberichte,Lehrbücher",1
1900-DISS-WG,Weigel,Georg,Über die Harzbalsame,Pharmakognosie,Balsame,1900,true,"Allgemeine Pharmaziegeschichte,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Naturwissenschafts-/Disziplingeschichte",0.1875,Frühe Neuzeit,"Jöns Jakob Berzelius,Johann Bartholomäus Trommsdorff,Gaius Plinius Secundus Maior,Pedanios Dioskurides,Vitruv,Galenos von Pergamon,Marcus Graecus,Andreas Libavius,Pietro Andrea Mattioli,Valerius Cordus,Johann Winter von Andernach,Christoph Wirsung,Johann Friedrich Gmelin","Wissenschaftliche Berichte,Fachliteratur,Fachzeitschriften,Handbuch,Jahresberichte,Dissertationen,Historische Wissensliteratur,Arzneibuch",2
1901-DISS-BF,Bochmann,Felix,Beiträge zur Entwicklungsgeschichte officineller Samen und Früchte,Pharmakognosie,Sonstige,1901,true,"Naturwissenschafts-/Disziplingeschichte,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte",0.125,Mitte 19. Jahrhundert,Alexandre Brongniart,Literaturverzeichnis,1
1901-DISS-DC,Dye,Clair Albert,"Entwicklungsgeschichtliche Untersuchungen über die unterirdischen Organe von Valeriana, Rheum und Inula.",Pharmakognosie,Anthrachinon-Drogen,1901,true,"Allgemeine Pharmaziegeschichte,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte",0.011494252873563218,nicht definiert,,,1
1901-DISS-KE,Keto,Edward,"Ueber die Harze der Copaivabalsame",Pharmakognosie,Balsame,1901,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.012987012987012988,Frühe Neuzeit,"Samuel Purchas,Cristóbal Diatristán de Acuña,Georg Marggraf,Willem Piso","Pharmakopöe,Fachliteratur",1
1901-DISS-NB,Niederstadt,Bernhard,Über den neuseeländischen Kauri-Busch-Copal von Dammara australis und Über das Harz von Pinus silvestris.,Pharmakognosie,Harze,1901,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.011363636363636364,Anfang 19. Jahrhundert,Theodor Wilhelm Christian Martius,Handbuch,1
1901-DISS-VL,van Itallie,Leopold,Ueber den orientalischen und den amerikanischen Styrax. (von Liquidambar orientalis u. Liquidambar styraciflua),Pharmakognosie,Balsame,1901,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte",0.13043478260869565,"Altertum,Frühmittelalter,Mittelalter,Mitte 19. Jahrhundert",Herodot,Religiöse Schriften,2
1902-DISS-CJ,Cremer,Joachim,Studien über Elemi.,Pharmakognosie,Harze,1902,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte",0.13953488372093023,"Altertum,Mittelalter,Frühe Neuzeit","Theophrastos von Eresos,Gaius Plinius Secundus Maior,Pedanios Dioskurides,Antonio Musa Brassavola,Claude-Joseph Geoffroy,Nicolás Monardes,Willem Piso,Georg Joseph Kamel,James Petiver,Robert Bentley,Henry Trimen,Michael Bernhard Valentini,Christoph Heinrich Pfaff,Jöns Jakob Berzelius,George Samuel Perrottet","Historische Wissensliteratur,Taxen,Listen,Historische Sekundärquellen,Fachzeitschriften,Lehrbücher,Fachliteratur,Jahresberichte",3
1902-DISS-DJ,Dekker,Johan,Ueber einige Bestandteile des Cacao und ihre Bestimmung.,Pharmakognosie,Gewürze und Genussmittel,1902,true,Naturwissenschafts-/Disziplingeschichte,0.04938271604938271,Gesamtes 19. Jahrhundert,,"Fachzeitschriften,Jahresberichte,Wissenschaftliche Berichte",1
1902-DISS-HK,Heuberger,Karl,Untersuchungen über den chinesischen Rhabarber.,Pharmakognosie,Anthrachinon-Drogen,1902,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Allgemeine Pharmaziegeschichte",0.1935483870967742,"Frühgeschichte,Altertum,Mittelalter,Frühe Neuzeit,Mitte 19. Jahrhundert","Shennong,Pedanios Dioskurides,Gaius Plinius Secundus Maior,Ammianus Marcellinus,Marco Polo,Odorich von Portenau,Jean-Pierre Guillaume Pauthier,Michael Bernhard Valentini,Caspar Neumann,Carl von Linné,Nikolai Michailowitsch Prschewalski ,Henri Ernest Baillon,Julius Eugen Schloßberger,Otto Döpping,Carl Wilhelm Scheele,Adolph Ferdinand Gehlen,William Henry,Johann Bartholomäus Trommsdorff,Warren De La Rue,Georg Dragendorff","Reiseberichte,Historische Sekundärquellen,Kräuterbuch,Wissenschaftliche Berichte,Fachzeitschriften,Jahresberichte,botanisches Systematikwerk,Fachliteratur,Jahrbücher,Handbuch",3
1903-DISS-EP,Eijken,Peter Anton August Frederik,Untersuchungen von in Bern cultivierten Rhabarberrhizomen (Rheum palmatum & tanguitcum und Rheum officinale Baillon).,Pharmakognosie,Anthrachinon-Drogen,1903,true,Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,0.061855670103092786,"Frühgeschichte,Altertum,Frühmittelalter,Mittelalter,Frühe Neuzeit","Pedanios Dioskurides,Scribonius Largus,Ammianus Marcellinus,Aulus Cornelius Celsus,Alexander von Tralleis,Crispus,Isidor von Sevilla,Avicenna,Marco Polo,Odorich von Portenau,Giovan Battista Ramusio","Reiseberichte,Erdkundeliteratur,Historische Wissensliteratur,Historische Sekundärquellen",2
1903-DISS-FF,Ferié,Fritz,Zur Kenntnis der Fette.,Pharmakochemie,Sonstige,1903,true,"Pharmazeutische Chemie-/Technologiegeschichte,Naturwissenschafts-/Disziplingeschichte",0.015625,"Frühe Neuzeit,Übergang 19. Jahrhundert","Carl Wilhelm Scheele,Eugène Chevreul","Briefe,Historische Wissensliteratur,Jahresberichte",1
1903-DISS-KF,Koritschoner,Franz,Untersuchungen über das Russische Pech und das Harz von Pinus palustris.,Pharmakognosie,Harze,1903,true,"Pharmakognosie-/Drogen‑/Materia‑medica‑Geschichte,Naturwissenschafts-/Disziplingeschichte",0.015625,Frühe Neuzeit,,,1
